"expid","peakid","year","season","host","route1","route2","route3","route4","nation","leaders","sponsor","success1","success2","success3","success4","ascent1","ascent2","ascent3","ascent4","claimed","disputed","countries","approach","bcdate","smtdate","smttime","smtdays","totdays","termdate","termreason","termnote","highpoint","traverse","ski","parapente","camps","rope","totmembers","smtmembers","mdeaths","tothired","smthired","hdeaths","nohired","o2used","o2none","o2climb","o2descent","o2sleep","o2medical","o2taken","o2unkwn","othersmts","campsites","accidents","achievment","agency","comrte","stdrte","primrte","primmem","primref","primid"
"DHA662301","DHA6","1962","3","1","W Face from S","","","","UK","J. O. M. Roberts","","false","false","false","false","","","","","false","false","","","","","","0","0","  -   -","10","","6400","false","false","false","0","0","1","0","0","2","0","0","false","false","true","false","false","false","false","false","false","""Climbed Gustang North (GHUN-623-01), attempted Gustang South (GHUS-623-01)""","xxx(6400m)","","","","false","false","false","true","true","GHUN62301"
"DHAM60101","DHAM","1960","1","1","W Ridge","","","","Switzerland","Max Eiselen","","true","false","false","false","1st","","","","false","false","Austria","","3/28/60","","","0","63","5/30/60","1","","6012","false","false","false","0","0","2","1","0","0","0","0","true","false","true","false","false","false","false","false","false","Climbed Dhaulagiri I (DHA1-601-01) and Little Tukuche Peak (both 1st ascents)","Smt(Apr)","","","","false","false","false","true","true","DHA160101"
"DHAM62101","DHAM","1962","1","1","W Ridge","","","","Japan","Shijiro Ishizaka","Nihon University","true","false","false","false","2nd","","","","false","false","","","","4/24/62","","0","0","  -   -","1","","6012","false","false","false","0","0","4","4","0","5","0","0","false","false","true","false","false","false","false","false","false","""Climbed Hongde (HONG-621-01), Tongu (TONG-621-01) and Kangtokla (KTOK-621-01); attempted Churen Himal (CHUR-621-01); recon Dhaulagiri II""","""BC(5000m),Smt(24/04)""","","","","false","false","false","true","true","HONG62101"
"PEMK64301","PEMK","1964","3","1","SW Ridge","","","","Japan","Hiroaki Tamura","","true","false","false","false","2nd","","","","false","false","","","","10/22/64","","0","0","  -   -","1","","6865","false","false","false","0","0","1","1","0","2","0","0","false","false","true","false","false","false","false","false","false","","Smt(22/10)","","","","false","false","false","false","false",""
"PEMK65101","PEMK","1965","1","1","","","","","Japan","""Ikuo Saegi, Tokumi Yamaguchi""","Uozu Alpine Club","false","false","false","false","","","","","false","false","","","","","","0","0","  -   -","14","Termination reason unknown","6000","false","false","false","0","0","2","0","0","0","0","0","false","false","true","false","false","false","false","false","false","","xxx(6000m)","","","","false","false","false","false","false",""
"DORJ64101","DORJ","1964","1","1","W Ridge","","","","UK","""Earl of Shaftesbury, Ami Giroud""","","false","false","false","false","","","","","false","false","Switzerland","Trisuli->Dunche->Langtang Valley","4/20/64","5/8/64","","18","33","5/23/64","4","Abandoned at 6300m due to heavy snowfall","6300","false","false","false","4","0","4","0","0","5","0","0","false","false","true","false","false","false","false","false","false","Attempted Ganchempo (GANC-641-01)","""BC(20/04,4980m),C1(24/04,4725m),C2(26/04),C3(29/04,5600m),C4(06/05,5950m),xxx(08,10/05,6300m)""","","","","false","false","false","false","false",""
"DROM63301","DROM","1963","3","1","","","","","Japan","Kenji Ishihara","Tokyo-Osaka University Joint Himalayan Expedition","false","false","false","false","","","","","false","false","","Kangbachen BC->Ghunsa BC","10/28/63","","","0","23","11/20/63","14","Termination reason unknown","6100","false","false","false","0","0","4","0","0","0","0","0","true","false","true","false","false","false","false","false","false","""Climbed Sharphu (SPHU-633-01), Tsisima (TSIS-633-01) and Syamdo Kangri (1st); attempted Talung (TLNG-633-01) and Merra (MERR-633-01); climbed 2 Tibetan peaks in Ombak Himal (OMBK-633-01)""","""BC(28/10,3800m),xxx(6100m)""","","","","false","false","true","true","true","SPHU63301"
"EVER60102","EVER","1960","1","2","N Col-NE Ridge","","","","China","Shi Zhang-Chun","","true","false","false","false","4th","","","","false","false","","","3/19/60","5/25/60","205","67","0","  -   -","1","","8850","false","false","false","8","0","29","3","1","99","0","0","false","true","false","true","false","false","false","false","false","","""BC(19/03,5120m),C1(25/03,5400m),C2(26/03,5900m),C3(27/03,6400m),C4(27/03,6600m),C5(7000m),C6(29/04,7400m),C7(02/05,8100m),C8(03/05,8500m),Smt(25/05)""","","","","true","true","false","false","false",""
"EVER62101","EVER","1962","1","1","S Col-SE Ridge","","","","India","John Dias","","false","false","false","false","","","","","false","false","","","3/29/62","5/30/62","","62","0","  -   -","4","Abandoned at 8720m due to high winds","8720","false","false","false","7","0","14","0","0","44","0","1","false","true","false","true","false","true","false","false","false","","""BC(29/03,5360m),C1(01/04,5800m),C2(6560m),C3(07/04,6560m),C4(08/04,6830m),C5(06/05,7200m),C6(24/05,8000m),C7(28/05,8440m),xxx(30/05,8720m)""","1 Sherpa killed by falling rock below C4","","","true","true","false","false","false",""
"EVER62102","EVER","1962","1","1","N Col-N Face","","","","USA","Woodrow Wilson Sayre","","false","false","false","false","","","","","false","false","Switzerland","Gokyo Valley->Gyachung Kang (BC)->Nup La->Rongbuk Glacier (C7)","4/24/62","6/4/62","","41","55","6/18/62","7","Abandoned at 7700m due to exhaustion","7700","false","false","false","14","0","4","0","0","0","0","0","true","false","true","false","false","false","false","false","false","Had permit for Gyachung Kang (GYAC-621-01)","""BC(24/04,5030m),C1,...,C7,C8,C9,C10,C11,C12(31/05,7000m),C13,C14(7300m),xxx(04/06,7700m)""","","","","true","true","false","false","false",""
